domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,2.63,7.33,0.9977,0.895,0.68,0.67
m_over,14.36,16.3,0.9845,-2.3725,1.09,2.01
mu_over,1.75,13.6,0.9929,0.7986,0.8,2.11
mu_under,5.58,24.52,0.9744,0.9648,0.75,1.93
m_over_mu_over,32.27,9.52,0.7396,-5.8355,2.08,15.15
m_over_mu_under,18.62,31.52,0.7497,-11.5329,1.11,2.23
