domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.05982,2.03,0.02244,5.35,0.9986,0.9563
m_over,0.80026,27.13,0.07331,17.47,0.6808,-2.2221
m_under,0.08851,3.0,0.06614,15.76,-0.4233,-1.1924
mu_over,0.03502,1.19,0.04507,10.74,0.9943,0.9103
mu_under,0.12985,4.4,0.05896,14.05,0.998,0.9649
m_over_mu_over,0.85735,29.06,0.02827,6.74,-1.8003,-77.0015
m_under_mu_under,0.0898,3.04,0.07347,17.51,-2.9277,-0.811
m_over_mu_under,0.88895,30.14,0.11695,27.87,0.9501,-15.5627
m_under_mu_over,0.09126,3.09,0.19239,45.84,-0.0221,-1.1258
