domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.04023,1.36,0.01707,4.07,0.9993,0.9823
m_over,0.89282,30.27,0.07566,18.03,0.6724,-4.8076
m_under,0.06984,2.37,0.06277,14.96,0.0212,-4.2181
mu_over,0.06705,2.27,0.0567,13.51,0.9967,0.887
mu_under,0.10673,3.62,0.05645,13.45,0.9954,0.9945
m_over_mu_over,1.19656,40.56,0.02288,5.45,-1.9429,-35.0624
m_under_mu_under,0.06501,2.2,0.08275,19.72,-2.761,-12.995
m_over_mu_under,0.85797,29.08,0.13911,33.15,0.7821,-3.7142
m_under_mu_over,0.08127,2.76,0.1843,43.91,0.4328,-0.1773
