Model,Force Input Required?,$\mathcal{D}_{test}$ (Mass NRMSE±STD (Bias)),$\mathcal{D}_{test}$ (Fric NRMSE±STD (Bias)),$\mathcal{D}_{OOD}^m$ (Mass NRMSE±STD (Bias)),$\mathcal{D}_{OOD}^m$ (Fric NRMSE±STD (Bias)),$\mathcal{D}_{OOD}^{\mu}$ (Mass NRMSE±STD (Bias)),$\mathcal{D}_{OOD}^{\mu}$ (Fric NRMSE±STD (Bias)),"$\mathcal{D}_{OOD}^{m, \mu}$ (Mass NRMSE±STD (Bias))","$\mathcal{D}_{OOD}^{m, \mu}$ (Fric NRMSE±STD (Bias))"
PhyPush $\mathcal{L}_{\text{data}}$,No,9.54 ± 4.43 (-8.44),27.50 ± 15.52 (+19.67),23.95 ± 8.56 (-18.59),25.86 ± 13.87 (+6.18),10.17 ± 4.56 (-9.03),37.22 ± 12.59 (+18.37),24.28 ± 8.41 (-19.05),38.92 ± 7.79 (+6.32)
PhyPush $\mathcal{L}_{\text{force}}$,No,7.88 ± 3.95 (N/A),21.10 ± 12.27 (N/A),22.43 ± 8.58 (N/A),32.05 ± 13.71 (N/A),7.97 ± 3.67 (N/A),32.11 ± 15.26 (N/A),22.21 ± 8.61 (N/A),39.15 ± 6.15 (N/A)
PhyPush $\mathcal{L}_{\text{acc}}$,No,3.36 ± 2.19 (N/A),12.97 ± 7.97 (N/A),25.04 ± 9.21 (N/A),18.02 ± 9.85 (N/A),4.75 ± 2.75 (N/A),32.08 ± 13.06 (N/A),24.91 ± 9.22 (N/A),35.45 ± 7.81 (N/A)
"PhyPush $\mathcal{L}_{\text{force, un}}$",No,7.62 ± 4.05 (-6.40),20.70 ± 11.98 (-4.06),22.20 ± 8.58 (-16.42),31.12 ± 13.47 (-10.15),7.72 ± 3.74 (-6.59),33.17 ± 15.87 (-5.50),22.03 ± 8.58 (-16.29),39.00 ± 6.09 (-9.67)
"PhyPush $\mathcal{L}_{\text{acc, un}}$",No,7.86 ± 4.53 (N/A),20.27 ± 11.00 (N/A),17.77 ± 8.57 (N/A),16.91 ± 9.38 (N/A),8.58 ± 4.81 (N/A),35.95 ± 17.57 (N/A),17.95 ± 8.66 (N/A),35.02 ± 11.31 (N/A)
