domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.02961,1.0,0.01493,3.56,0.9983,0.9488
m_over,0.79048,26.8,0.06767,16.12,0.8015,-3.5208
m_under,0.10213,3.46,0.05328,12.7,-0.261,-2.7888
mu_over,0.03783,1.28,0.05866,13.98,0.9934,0.8645
mu_under,0.04235,1.44,0.03825,9.11,0.9926,0.967
m_over_mu_over,0.83592,28.34,0.04328,10.31,-1.3495,-1158.4132
m_under_mu_under,0.10696,3.63,0.08769,20.89,-1.1874,-2.1784
m_over_mu_under,0.7653,25.94,0.09596,22.86,0.8969,-5.0616
m_under_mu_over,0.09984,3.38,0.16733,39.87,-0.4336,-3.4843
