domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.98,4.03,0.9973,0.8935,0.62,0.34
m_over,15.78,17.16,0.8062,-4.2699,1.18,4.23
m_under,3.89,20.33,0.6952,-0.9613,0.42,0.98
mu_over,2.82,13.46,0.9937,0.6574,0.83,0.68
mu_under,1.01,11.42,0.9864,0.9913,0.55,1.11
m_over_mu_over,14.94,11.44,-2.974,-7.5737,1.35,13.56
m_under_mu_under,3.87,8.92,-2.4869,-2.4293,0.32,1.63
m_over_mu_under,16.89,36.4,0.563,-3.5704,1.25,3.08
m_under_mu_over,3.85,45.36,0.6796,-0.1994,0.81,0.96
